, ,"Alexandria, VA","Alpharetta, GA","Antioch, CA","Arlington Heights, IL","Aurora, CO","Baton Rouge, LA","Bellevue, WA","Billings, MT","Blue Springs, MO","Bowling Green, KY","Broken Arrow, OK","Buena Park, CA","Camden, NJ","Carson, CA","Cedar Hill, TX","Charleston, SC","Chicago, IL","City of Sammamish, WA","Collierville, TN","Compton, CA","Corona, NY","Cypress, CA","Dayton, OH","Delray Beach, FL","Downers Grove, IL","East Brunswick, NJ","East Norwalk, CT","Edmond, OK","Elmhurst, IL","Euless, TX","Fayetteville, NC","Florin, CA","Fort Smith, AR","Fresno, CA","Gastonia, NC","Goodyear, AZ","Green Bay, WI","Hamilton, OH","Haverhill, MA","Highland, CA","Huntersville, NC","Iowa City, IA","Jacksonville, FL","Joplin, MO","Kennewick, WA","Kissimmee, FL","Laguna Niguel, CA","Lakewood, NJ","Lawrence, KS","Lenexa, KS","Livermore, CA","Loveland, CO","Malden, MA","Marietta, GA","Melbourne, FL","Metairie Terrace, LA","Millcreek, UT","Mission Viejo, CA","Moreno Valley, CA","Nampa, ID","New Haven, CT","Noblesville, IN","North Miami, FL","Oak Lawn, IL","Omaha, NE","Ozone Park, NY","Paradise, NV","Paterson, NJ","Perth Amboy, NJ","Pittsburg, CA","Pomona, CA","Portland, ME","Racine, WI","Redmond, WA","Richmond, VA","Rock Hill, SC","Roswell, NM","Saint George, UT","San Antonio, TX","San Marcos, TX","Santa Clara, CA","Schaumburg, IL","Shreveport, LA","South Gate, CA","Sparks, NV","Springfield, OR","Stratford, CT","Tacoma, WA","Tempe Junction, AZ","Tigard, OR","Trenton, NJ","Tyler, TX","Vancouver, WA","Waldorf, MD","Waterloo, IA","West Coon Rapids, MN","West Orange, NJ","Wheaton, MD","Woodland, CA"
9,"Alexandria, VA",,700.83,3217.21,805.0,2767.25,1574.25,3283.43,2092.31,1161.47,716.63,1348.02,2847.91,152.14,2871.17,1435.31,551.64,768.95,3278.84,972.2,2864.17,264.16,2863.62,504.46,999.07,791.03,204.15,291.95,1710.21,794.33,1434.79,312.4,3239.77,1242.84,3086.66,489.29,2501.16,1103.35,543.53,515.32,2800.38,492.26,969.04,702.58,1166.55,3078.6,861.33,2872.94,203.25,1216.53,1192.43,3204.67,2818.68,498.35,722.58,878.47,1646.74,3284.43,2867.34,2794.42,2818.97,327.35,641.3,1039.88,763.04,1214.79,272.82,2774.16,250.89,226.5,3222.29,2828.3,594.13,838.47,3286.38,104.74,478.24,2010.28,2837.61,1688.45,1639.97,3208.74,801.45,1319.36,2862.54,3215.13,3335.41,311.74,3302.19,2479.58,3235.26,184.23,1403.18,3231.22,26.77,1060.39,1258.8,239.67,17.33,3267.1
19,"Alpharetta, GA",687.55,,2688.17,816.41,2238.21,577.39,3580.83,2791.32,909.48,336.81,982.59,2318.87,836.47,2342.13,906.27,297.38,780.36,3576.24,361.81,2335.13,948.49,2334.58,650.84,646.56,802.44,888.48,976.28,1181.17,805.74,905.75,390.23,2710.73,937.68,2557.61,211.4,1972.12,1114.76,631.17,1199.65,2271.33,241.36,980.45,350.06,861.39,3376.0,472.68,2343.9,887.58,1112.75,1088.65,2675.63,2289.64,1182.68,19.18,525.95,594.15,2755.39,2338.3,2265.38,3116.37,1011.68,611.89,687.36,774.45,1208.18,957.15,2245.12,935.22,910.83,2693.25,2299.26,1278.46,849.88,3583.78,587.99,225.55,1481.24,2308.57,1159.41,1110.93,2679.7,812.86,632.24,2333.49,2686.09,3632.81,996.07,3599.59,1950.54,3532.66,868.56,728.5,3528.62,678.65,1071.8,1270.21,924.0,701.65,2738.06
29,"Antioch, CA",3208.32,2718.85,,2802.86,1197.38,2344.56,798.55,1230.81,2327.58,2597.87,2079.56,386.41,3382.02,375.64,1803.34,2983.08,2789.87,807.54,2365.3,374.73,3491.14,388.39,2838.37,3161.81,2778.57,3424.07,3518.82,1978.04,2781.88,1783.71,3277.43,58.25,2197.94,155.51,3094.13,718.52,2994.03,2818.71,3742.2,432.58,3103.8,2790.81,2893.7,2182.27,838.06,2997.72,424.04,3432.66,2280.99,2300.22,32.68,1224.38,3725.22,2702.52,3048.49,2417.05,709.7,422.33,425.55,595.58,3554.23,2799.43,3202.61,2777.43,2134.03,3499.8,555.64,3458.7,3424.29,5.97,395.91,3821.0,2879.01,805.06,3184.02,2930.61,1537.48,676.61,1714.84,1744.4,67.04,2799.31,2089.67,368.93,193.24,513.22,3538.62,764.61,743.77,614.82,3399.52,1908.33,630.6,3232.01,2277.93,2059.75,3455.09,3214.29,61.85
39,"Arlington Heights, IL",822.66,831.4,2917.85,,1102.16,1274.89,2558.88,1367.77,502.63,498.49,698.82,2548.55,961.3,2571.81,1135.95,1034.76,47.62,2554.3,715.89,2564.81,969.09,2564.25,336.63,1458.68,30.54,943.86,971.83,1410.85,22.07,1135.43,1015.84,2940.41,943.48,2787.29,832.54,2201.8,193.23,337.85,1195.2,2501.01,842.21,244.5,1162.18,596.24,2354.05,1284.81,2573.58,976.68,557.69,533.6,2905.31,1040.23,1178.22,818.85,1338.07,1347.38,1418.09,2567.97,2495.06,2094.43,1007.23,223.82,1499.48,40.52,490.24,977.75,2474.8,939.78,944.07,2922.92,2528.94,1274.01,56.07,2561.84,922.43,869.91,1710.92,2538.24,1389.09,1340.6,2909.38,10.7,1020.0,2563.17,2915.77,2610.87,991.62,2577.64,2180.22,2510.72,946.72,1103.81,2506.67,843.61,335.85,534.25,937.35,803.74,2967.73
49,"Aurora, CO",2756.34,2266.86,1197.81,1105.12,,1892.57,1358.07,559.08,610.74,2145.88,696.42,1060.08,2930.03,1083.34,1351.35,2531.09,1092.13,1353.48,1913.31,1076.35,1983.27,1075.79,2386.38,2709.82,1080.84,2972.08,1986.01,881.96,1084.14,1331.72,2825.44,1146.72,1745.95,1188.94,2642.14,913.06,1296.3,2366.72,2209.38,1019.48,2651.81,794.02,2441.71,696.56,1153.24,2545.73,1085.12,2980.67,556.45,588.03,1224.15,57.4,2192.41,2250.53,2596.5,1965.06,532.64,1079.51,1033.85,893.62,2021.41,1157.91,2750.62,1085.03,540.34,1991.93,797.52,1953.96,2972.3,1202.89,1040.47,2288.19,1181.27,1361.03,2732.03,2478.62,502.45,673.47,1262.86,1292.41,1270.45,1101.57,1637.69,1074.71,1005.06,1410.06,2005.8,1376.83,888.64,1309.91,2947.53,1456.34,1305.86,2780.02,799.25,1376.1,3003.1,2762.31,1157.7
59,"Baton Rouge, LA",1544.26,580.72,2323.92,1138.79,1873.96,,3216.58,2427.07,804.66,933.81,618.34,1954.62,1717.95,1977.88,542.02,844.95,1125.8,3211.99,701.23,1970.89,1827.07,1970.33,1174.31,877.05,1114.51,1760.01,1854.76,816.92,1117.81,541.5,1613.36,2346.49,524.44,2193.37,778.33,1607.87,1329.97,1154.64,2078.13,1907.09,1439.73,1126.75,608.88,666.4,3011.75,712.96,1979.65,1768.6,832.21,837.37,2311.38,1925.39,2061.16,564.39,763.73,77.21,2391.15,1974.05,1901.13,2752.13,1890.16,1135.36,917.85,1113.37,994.02,1835.73,1880.87,1794.64,1760.23,2329.0,1935.01,2156.94,1214.94,3219.54,1519.96,792.47,1116.99,1944.32,795.16,746.68,2315.45,1135.24,263.97,1969.25,2321.84,3268.57,1874.55,3235.34,1586.29,3168.42,1735.46,357.48,3164.37,1567.94,1287.33,1485.42,1791.03,1550.23,2373.81
69,"Bellevue, WA",3249.93,3316.61,798.85,2431.77,1750.02,3636.71,,1192.98,2256.61,2983.7,2391.17,1370.51,3388.57,1393.77,3095.49,3682.4,2474.89,14.89,3657.45,1386.77,3396.36,1386.21,2763.9,4453.96,2457.81,3371.13,3399.1,2626.1,2449.34,3075.86,3663.48,768.96,3490.09,928.84,3480.19,1382.93,2320.33,2765.12,3622.47,1329.9,3489.86,2330.98,4185.85,2388.41,208.27,4289.87,1395.54,3403.95,2234.3,2245.19,821.39,1701.24,3605.49,3994.67,4340.64,3709.2,888.0,1389.93,1344.27,472.04,3434.5,2651.09,4494.76,2467.79,2096.21,3405.02,1107.94,3367.05,3371.34,800.03,1350.89,3701.27,2456.64,7.87,3570.08,3517.55,2246.59,1182.94,3006.99,3036.55,854.82,2437.97,3381.82,1385.13,849.92,287.48,3418.89,36.65,1409.54,186.7,3373.99,3200.48,168.9,3270.88,2240.11,2021.92,3364.62,3231.01,737.92
79,"Billings, MT",2058.24,2124.92,1229.43,1240.08,558.33,2445.02,1191.36,,1064.92,1792.01,1199.47,1328.71,2196.88,1351.97,1903.8,2490.71,1283.2,1186.77,2465.76,1344.97,2204.66,1344.41,1572.21,3262.27,1266.12,2179.43,2207.41,1434.41,1257.65,1884.16,2471.79,1178.34,2298.4,1338.22,2288.5,1465.51,1128.63,1573.43,2430.78,1288.1,2298.16,1139.29,2994.16,1196.72,986.53,3098.17,1353.74,2212.26,1042.61,1053.5,1255.77,509.55,2413.8,2802.98,3148.95,2517.51,647.15,1348.13,1302.48,726.91,2242.81,1459.4,3303.07,1276.1,904.52,2213.33,1066.14,2175.36,2179.65,1234.51,1309.1,2509.58,1264.95,1194.32,2378.39,2325.86,1054.9,942.09,1815.3,1844.86,1302.07,1246.28,2190.13,1343.33,1036.68,1243.34,2227.2,1210.12,1441.09,1143.2,2182.3,2008.79,1139.15,2079.19,1048.42,830.23,2172.93,2039.32,1189.32
89,"Blue Springs, MO",1332.0,1054.23,2325.73,505.85,610.79,903.48,2256.52,1065.4,,721.32,261.58,1956.44,1376.22,1979.69,570.91,1420.02,492.86,2251.93,472.03,1972.7,1384.0,1972.14,659.35,1681.51,481.57,1358.77,1386.74,349.58,484.87,570.39,1401.1,2348.3,285.92,2195.18,1217.8,1609.68,697.03,624.4,1610.11,1908.9,1227.47,302.62,1385.01,167.2,2051.69,1507.64,1981.47,1391.59,58.12,29.92,2313.2,662.98,1593.14,1041.68,1560.9,975.97,1139.09,1975.86,1902.94,1792.07,1422.14,558.64,1722.31,485.76,207.04,1392.66,1882.68,1354.69,1358.98,2330.81,1936.82,1688.92,582.0,2259.48,1307.69,1255.17,1118.81,1279.92,968.25,775.57,2317.27,502.3,648.6,1971.06,1611.51,2308.51,1406.53,2275.28,1588.1,2208.36,1361.63,528.35,2204.31,1355.68,318.19,470.93,1352.26,1138.56,2375.62
99,"Bowling Green, KY",688.04,338.54,2579.3,483.66,2129.34,936.34,3471.96,1770.97,576.73,,710.11,2210.01,861.74,2233.27,797.41,776.06,447.61,3467.38,334.29,2226.27,970.85,2225.71,318.09,965.82,469.69,903.79,998.54,1072.3,473.0,796.88,757.15,2601.87,604.93,2448.75,573.85,1863.25,782.02,298.42,1221.91,2162.47,583.52,647.7,669.32,528.64,3267.13,791.95,2235.04,912.38,780.0,755.91,2566.77,2180.78,1204.94,325.99,845.21,683.19,2646.53,2229.43,2156.51,3007.51,1033.94,279.14,1006.62,441.7,875.43,979.51,2136.25,938.42,904.01,2584.38,2190.39,1300.72,517.14,3474.92,663.74,611.21,1372.38,2199.7,1050.54,1002.06,2570.84,480.11,681.46,2224.63,2577.22,3523.95,1018.33,3490.72,1841.67,3423.8,879.24,765.27,3419.75,711.72,739.06,937.46,934.81,694.01,2629.19
109,"Broken Arrow, OK",1319.17,1037.59,2077.39,701.57,696.89,663.3,2157.81,1200.54,261.01,708.71,,1708.09,1492.86,1731.35,330.73,1301.82,688.58,2153.22,476.14,1724.35,1601.98,1723.8,949.21,1480.55,677.29,1534.91,1629.67,108.33,680.59,330.21,1388.27,2099.95,106.28,1946.83,1204.97,1361.34,892.75,929.55,1853.04,1660.55,1214.64,549.67,1212.44,109.27,1952.98,1316.46,1733.12,1543.5,221.59,240.05,2064.85,749.09,1836.06,1021.26,1367.23,735.79,1332.38,1727.52,1654.6,1693.36,1665.07,910.27,1521.35,681.48,391.74,1610.64,1634.34,1569.54,1535.13,2082.47,1688.48,1931.85,777.73,2160.77,1294.86,1242.34,870.46,1697.79,719.9,535.39,2068.92,698.02,408.42,1722.71,2075.31,2209.8,1649.46,2176.57,1339.76,2109.65,1510.36,288.17,2105.6,1342.85,565.24,717.98,1565.93,1325.14,2127.28
