 	Alpharetta, GA	Arlington Heights, IL	Baton Rouge, LA	Billings, MT	Bowling Green, KY	Buena Park, CA	Carson, CA	Charleston, SC	City of Sammamish, WA	Compton, CA	Cypress, CA	Delray Beach, FL	East Brunswick, NJ	Edmond, OK	Euless, TX	Florin, CA	Fresno, CA	Goodyear, AZ	Hamilton, OH	Highland, CA	Iowa City, IA	Joplin, MO	Kissimmee, FL	Lakewood, NJ	Lenexa, KS	Loveland, CO	Marietta, GA	Metairie Terrace, LA	Mission Viejo, CA	Nampa, ID	Noblesville, IN	Oak Lawn, IL	Ozone Park, NY	Paterson, NJ	Pittsburg, CA	Portland, ME	Redmond, WA	Rock Hill, SC	Saint George, UT	San Marcos, TX	Schaumburg, IL	South Gate, CA	Springfield, OR	Tacoma, WA	Tigard, OR	Tyler, TX	Waldorf, MD	West Coon Rapids, MN	Wheaton, MD
Alpharetta, GA		816.41	577.39	2791.32	336.81	2318.87	2342.13	297.38	3576.24	2335.13	2334.58	646.56	888.48	1181.17	905.75	2710.73	2557.61	1972.12	631.17	2271.33	980.45	861.39	472.68	887.58	1088.65	2289.64	19.18	594.15	2338.3	3116.37	611.89	774.45	957.15	935.22	2693.25	1278.46	3583.78	225.55	2308.57	1110.93	812.86	2333.49	3632.81	3599.59	3532.66	728.5	678.65	1270.21	701.65
Arlington Heights, IL	831.4		1274.89	1367.77	498.49	2548.55	2571.81	1034.76	2554.3	2564.81	2564.25	1458.68	943.86	1410.85	1135.43	2940.41	2787.29	2201.8	337.85	2501.01	244.5	596.24	1284.81	976.68	533.6	1040.23	818.85	1347.38	2567.97	2094.43	223.82	40.52	977.75	939.78	2922.92	1274.01	2561.84	869.91	2538.24	1340.6	10.7	2563.17	2610.87	2577.64	2510.72	1103.81	843.61	534.25	803.74
Baton Rouge, LA	580.72	1138.79		2427.07	933.81	1954.62	1977.88	844.95	3211.99	1970.89	1970.33	877.05	1760.01	816.92	541.5	2346.49	2193.37	1607.87	1154.64	1907.09	1126.75	666.4	712.96	1768.6	837.37	1925.39	564.39	77.21	1974.05	2752.13	1135.36	1113.37	1835.73	1794.64	2329.0	2156.94	3219.54	792.47	1944.32	746.68	1135.24	1969.25	3268.57	3235.34	3168.42	357.48	1567.94	1485.42	1550.23
Billings, MT	2124.92	1240.08	2445.02		1792.01	1328.71	1351.97	2490.71	1186.77	1344.97	1344.41	3262.27	2179.43	1434.41	1884.16	1178.34	1338.22	1465.51	1573.43	1288.1	1139.29	1196.72	3098.17	2212.26	1053.5	509.55	2802.98	2517.51	1348.13	726.91	1459.4	1276.1	2213.33	2175.36	1234.51	2509.58	1194.32	2325.86	942.09	1844.86	1246.28	1343.33	1243.34	1210.12	1143.2	2008.79	2079.19	830.23	2039.32
Bowling Green, KY	338.54	483.66	936.34	1770.97		2210.01	2233.27	776.06	3467.38	2226.27	2225.71	965.82	903.79	1072.3	796.88	2601.87	2448.75	1863.25	298.42	2162.47	647.7	528.64	791.95	912.38	755.91	2180.78	325.99	683.19	2229.43	3007.51	279.14	441.7	979.51	938.42	2584.38	1300.72	3474.92	611.21	2199.7	1002.06	480.11	2224.63	3523.95	3490.72	3423.8	765.27	711.72	937.46	694.01
Buena Park, CA	2347.18	2431.19	1972.89	1329.51	2226.2		26.97	2611.41	1303.51	19.97	5.78	2790.14	3052.4	1606.37	1412.03	410.45	257.34	346.85	2447.04	60.91	2419.14	1810.6	2626.05	3060.99	1928.55	1086.12	2330.85	2045.38	35.45	906.05	2427.76	2405.76	3128.13	3087.03	392.97	3449.33	1311.06	2558.94	387.53	1372.73	2427.64	18.34	888.99	1140.39	990.59	1536.66	2860.34	2158.44	2842.62
Carson, CA	2371.43	2455.44	1997.14	1353.76	2250.45	27.32		2635.66	1290.03	9.89	29.31	2814.39	3076.65	1630.62	1436.28	396.97	243.86	371.1	2471.28	85.16	2443.39	1834.85	2650.29	3085.24	1952.8	1110.37	2355.1	2069.63	52.94	847.31	2452.0	2430.01	3152.38	3111.28	379.49	3473.58	1297.58	2583.19	411.78	1396.98	2451.89	13.78	875.51	1126.91	977.11	1560.91	2884.59	2182.7	2866.87
Charleston, SC	305.9	1042.54	842.99	3056.93	646.93	2584.48	2607.74		3841.85	2600.74	2600.18	554.81	708.54	1446.77	1171.35	2976.34	2823.22	2237.72	681.51	2536.94	1206.58	1174.22	417.06	707.64	1401.49	2555.25	327.64	859.75	2603.9	3381.98	838.02	1000.58	777.21	755.28	2958.85	1098.52	3849.39	188.95	2574.17	1376.53	1038.99	2599.1	3898.42	3865.19	3798.27	994.1	498.71	1496.34	521.71
City of Sammamish, WA	3311.17	2426.33	3631.26	1187.54	2978.26	1365.06	1388.32	3676.96		1381.32	1380.77	4448.51	3365.68	2620.66	3070.41	777.57	937.45	1377.49	2759.68	1324.45	2325.53	2382.97	4284.42	3398.51	2239.75	1695.8	3989.22	3703.75	1384.49	466.6	2645.65	2462.34	3399.57	3361.61	808.64	3695.83	7.66	3512.11	1177.5	3031.1	2432.53	1379.68	296.1	45.26	195.31	3195.03	3265.43	2016.48	3225.57
Compton, CA	2362.39	2446.39	1988.1	1344.71	2241.41	18.28	9.53	2626.62	1288.6		20.26	2805.35	3067.61	1621.58	1427.24	395.54	242.42	362.06	2462.24	76.11	2434.35	1825.81	2641.25	3076.2	1943.76	1101.33	2346.06	2060.58	54.2	845.87	2442.96	2420.97	3143.33	3102.24	378.05	3464.54	1296.14	2574.14	402.74	1387.93	2442.84	5.45	874.08	1125.47	975.68	1551.86	2875.54	2173.65	2857.83
Cypress, CA	2362.76	2446.76	1988.47	1345.08	2241.78	5.75	27.85	2626.99	1304.39	20.86		2805.72	3067.98	1621.95	1427.61	411.34	258.22	362.42	2462.61	76.48	2434.72	1826.18	2641.62	3076.57	1944.13	1101.7	2346.43	2060.95	34.44	861.67	2443.33	2421.34	3143.7	3102.61	393.85	3464.91	1311.94	2574.51	403.11	1388.3	2443.21	19.22	889.87	1141.27	991.47	1552.23	2875.91	2174.02	2858.2
Delray Beach, FL	649.94	1446.83	1021.16	3235.09	967.22	2762.64	2785.9	557.76	4020.01	2778.91	2778.35		1201.48	1624.94	1349.52	3154.51	3001.39	2415.89	1261.59	2715.11	1610.87	1474.42	171.72	1200.59	1645.4	2733.41	645.13	822.89	2782.07	3560.15	1242.31	1404.86	1270.16	1248.23	3137.02	1591.47	4027.56	652.66	2752.34	1554.7	1443.28	2777.27	4076.59	4043.36	3976.44	1172.27	991.66	1900.63	1014.66
